"Plot Title: Brad_DG_09.28.23-2"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Stopped (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
363,09/28/23 10:33:54 AM,106.3,103.5,73.35,,,,,
364,09/28/23 10:33:59 AM,106.3,103.5,73.35,,,,,
365,09/28/23 10:34:04 AM,106.3,103.5,73.35,,,,,
366,09/28/23 10:34:09 AM,106.2,103.5,73.35,,,,,
367,09/28/23 10:34:14 AM,106.1,103.5,73.35,,,,,
368,09/28/23 10:34:19 AM,106.1,103.5,73.35,,,,,
369,09/28/23 10:34:24 AM,106.1,103.2,73.35,,,,,
370,09/28/23 10:34:29 AM,106.0,103.2,73.33,,,,,
371,09/28/23 10:34:34 AM,106.0,103.5,73.35,,,,,
372,09/28/23 10:34:39 AM,105.9,103.2,73.35,,,,,
