"Plot Title: Brad_DG_2023-06-01"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
178,06/01/23 10:33:11 AM,0.4,-0.9,84.00,,,,
179,06/01/23 10:33:16 AM,0.3,-0.9,84.02,,,,
180,06/01/23 10:33:21 AM,0.4,-0.9,84.07,,,,
181,06/01/23 10:33:26 AM,0.3,-0.9,84.15,,,,
182,06/01/23 10:33:31 AM,0.3,-0.9,84.20,,,,
183,06/01/23 10:33:36 AM,0.4,-3.4,84.15,,,,
184,06/01/23 10:33:41 AM,1.8,-3.4,84.15,,,,
185,06/01/23 10:33:46 AM,1.6,-0.9,84.13,,,,
186,06/01/23 10:33:51 AM,69.7,68.2,77.41,,,,
187,06/01/23 10:33:56 AM,1.1,-3.0,80.69,,,,
188,06/01/23 10:34:01 AM,1.3,-3.0,81.00,,,,
189,06/01/23 10:34:06 AM,201.7,202.2,74.52,,,,
190,06/01/23 10:34:11 AM,68.7,72.3,73.94,,,,
191,06/01/23 10:34:16 AM,199.5,199.4,72.86,,,,
192,06/01/23 10:34:21 AM,200.4,200.6,72.52,,,,
193,06/01/23 10:34:26 AM,199.2,199.1,72.30,,,,
194,06/01/23 10:34:31 AM,202.1,202.4,72.72,,,,
195,06/01/23 10:34:36 AM,200.0,200.2,72.64,,,,
196,06/01/23 10:34:41 AM,199.2,199.1,72.37,,,,
197,06/01/23 10:34:46 AM,199.3,199.1,72.41,,,,
198,06/01/23 10:34:51 AM,199.5,199.1,72.55,,,,
199,06/01/23 10:34:56 AM,199.4,199.5,72.45,,,,
200,06/01/23 10:35:01 AM,199.7,199.5,72.50,,,,
201,06/01/23 10:35:06 AM,199.4,199.5,72.37,,,,
202,06/01/23 10:35:11 AM,199.3,199.1,72.28,,,,
203,06/01/23 10:35:16 AM,199.4,199.1,72.36,,,,
204,06/01/23 10:35:21 AM,199.4,199.1,72.30,,,,
205,06/01/23 10:35:26 AM,199.3,199.2,72.25,,,,
206,06/01/23 10:35:31 AM,199.1,198.8,72.14,,,,
207,06/01/23 10:35:36 AM,199.3,199.2,72.25,,,,
208,06/01/23 10:35:41 AM,199.4,199.5,72.23,,,,
209,06/01/23 10:35:46 AM,199.1,199.2,72.18,,,,
210,06/01/23 10:35:51 AM,199.2,199.2,72.14,,,,
211,06/01/23 10:35:56 AM,199.3,198.8,72.16,,,,
212,06/01/23 10:36:01 AM,199.3,199.2,72.18,,,,
213,06/01/23 10:36:06 AM,199.2,198.8,72.12,,,,
214,06/01/23 10:36:11 AM,199.1,198.8,72.09,,,,
215,06/01/23 10:36:16 AM,199.2,199.2,72.10,,,,
216,06/01/23 10:36:21 AM,199.2,199.2,72.12,,,,
217,06/01/23 10:36:26 AM,199.1,198.8,72.09,,,,
218,06/01/23 10:36:31 AM,199.1,198.8,72.10,,,,
219,06/01/23 10:36:36 AM,199.3,198.8,72.10,,,,
220,06/01/23 10:36:41 AM,199.2,199.2,72.12,,,,
221,06/01/23 10:36:46 AM,199.2,198.8,72.09,,,,
222,06/01/23 10:36:51 AM,199.2,198.8,72.07,,,,
223,06/01/23 10:36:56 AM,199.2,198.8,72.07,,,,
224,06/01/23 10:37:01 AM,199.2,198.8,72.09,,,,
225,06/01/23 10:37:06 AM,199.2,198.8,72.09,,,,
226,06/01/23 10:37:11 AM,199.2,198.8,72.10,,,,
227,06/01/23 10:37:16 AM,199.2,198.8,72.07,,,,
228,06/01/23 10:37:21 AM,199.2,198.8,72.07,,,,
229,06/01/23 10:37:26 AM,199.2,198.8,72.07,,,,
230,06/01/23 10:37:31 AM,199.2,198.8,72.03,,,,
231,06/01/23 10:37:36 AM,199.3,198.8,72.09,,,,
232,06/01/23 10:37:41 AM,199.3,198.8,72.07,,,,
233,06/01/23 10:37:46 AM,199.3,198.8,72.07,,,,
234,06/01/23 10:37:51 AM,199.3,198.8,72.07,,,,
235,06/01/23 10:37:56 AM,199.3,198.8,72.07,,,,
236,06/01/23 10:38:01 AM,199.3,198.8,72.07,,,,
237,06/01/23 10:38:06 AM,199.3,198.8,72.03,,,,
238,06/01/23 10:38:11 AM,199.3,198.8,72.07,,,,
239,06/01/23 10:38:16 AM,199.3,198.8,72.07,,,,
240,06/01/23 10:38:21 AM,199.3,198.8,72.07,,,,
241,06/01/23 10:38:26 AM,199.3,198.8,72.07,,,,
242,06/01/23 10:38:31 AM,199.3,198.8,72.07,,,,
243,06/01/23 10:38:36 AM,199.3,198.8,72.07,,,,
244,06/01/23 10:38:41 AM,199.3,198.8,72.03,,,,
245,06/01/23 10:38:46 AM,199.3,198.8,72.03,,,,
246,06/01/23 10:38:51 AM,199.3,198.8,72.07,,,,
247,06/01/23 10:38:56 AM,199.3,198.8,72.07,,,,
248,06/01/23 10:39:01 AM,199.2,198.8,72.03,,,,
249,06/01/23 10:39:06 AM,199.3,198.8,72.03,,,,
250,06/01/23 10:39:11 AM,199.3,198.8,72.03,,,,
251,06/01/23 10:39:16 AM,199.3,198.8,72.03,,,,
252,06/01/23 10:39:21 AM,199.3,198.8,72.03,,,,
253,06/01/23 10:39:26 AM,199.2,198.8,72.03,,,,
254,06/01/23 10:39:31 AM,199.3,198.8,72.03,,,,
255,06/01/23 10:39:36 AM,199.3,198.8,72.03,,,,
256,06/01/23 10:39:41 AM,199.3,198.8,72.03,,,,
257,06/01/23 10:39:46 AM,199.6,198.8,72.03,,,,
258,06/01/23 10:39:51 AM,199.6,199.2,72.03,,,,
259,06/01/23 10:39:56 AM,202.2,201.7,72.03,,,,
260,06/01/23 10:40:01 AM,206.4,205.8,72.03,,,,
261,06/01/23 10:40:06 AM,211.6,211.3,72.01,,,,
