Date,Eosense,Vaisala,K30
2024-06-16T20:30:00Z,2545.462,474.7691,135.2261
2024-06-16T20:45:00Z,2545.285,489.1492,135.4191
2024-06-16T21:00:00Z,2560.59,489.1207,135.5506
2024-06-16T21:15:00Z,2575.528,499.4202,135.4943
2024-06-16T21:30:00Z,2575.183,489.0181,135.7806
2024-06-16T21:45:00Z,2590.965,465.6175,135.542
2024-06-16T22:00:00Z,2605.922,481.1885,135.7222
2024-06-16T22:15:00Z,2621.102,484.721,145.1066
2024-06-16T22:30:00Z,2636.181,464.2617,145.0383
2024-06-16T22:45:00Z,2636.008,486.1936,145.3144
2024-06-16T23:00:00Z,2651.639,469.2383,145.3149
2024-06-16T23:15:00Z,2665.776,488.393,145.3145
2024-06-16T23:30:00Z,2681.987,497.9687,145.6143
2024-06-16T23:45:00Z,2681.485,482.9693,145.047
2024-06-17T00:00:00Z,2696.846,476.1308,145.1493
2024-06-17T00:15:00Z,2696.732,496.3314,145.5378
2024-06-17T00:30:00Z,2696.863,497.8597,145.1001
2024-06-17T00:45:00Z,2712.104,475.9839,145.3741
2024-06-17T01:00:00Z,2711.796,498.8741,145.2915
2024-06-17T01:15:00Z,2727.221,499.5909,145.2155
2024-06-17T01:30:00Z,2742.439,476.1324,145.3236
2024-06-17T01:45:00Z,2726.9,495.7218,145.2795
2024-06-17T02:00:00Z,2742.506,501.1452,145.4353
2024-06-17T02:15:00Z,2742.086,474.276,145.0162
2024-06-17T02:30:00Z,2727.137,499.4152,145.5841
2024-06-17T02:45:00Z,2696.747,477.4779,144.9925
2024-06-17T03:00:00Z,2666.685,476.2637,145.2421
2024-06-17T03:15:00Z,2636.483,500.9912,145.5954
2024-06-17T03:30:00Z,2620.782,475.7642,145.0045
2024-06-17T03:45:00Z,2606.025,477.3788,145.3114
2024-06-17T04:00:00Z,2591.052,511.4875,145.5908
2024-06-17T04:15:00Z,2575.414,474.7654,145.0111
2024-06-17T04:30:00Z,2560.931,507.5844,145.534
2024-06-17T04:45:00Z,2545.475,487.9006,144.9865
2024-06-17T05:00:00Z,2530.216,509.7469,145.2718
2024-06-17T05:15:00Z,2529.989,486.1521,145.2975
