Date,Rep,V,CDOM,CO2
6/22/2023 2:00,396,11.74,8.191126,18.1253
6/22/2023 3:00,397,11.73,5.460751,18.73319
6/22/2023 4:00,398,11.73,7.508532,19.08699
6/22/2023 5:00,399,11.72,6.143344,47.09015
6/22/2023 6:00,400,11.72,5.460751,42.27078
6/22/2023 7:00,401,11.72,5.460751,41.77223
6/22/2023 8:00,402,11.72,5.460751,39.9832
6/22/2023 9:00,403,11.71,8.191126,40.67974
6/22/2023 10:00,404,11.71,6.825938,37.6614
6/22/2023 11:00,405,11.71,8.191126,36.62212
6/22/2023 12:00,406,11.72,7.508532,36.21304
6/22/2023 13:00,407,11.7,8.190557,35.31749
6/22/2023 14:00,408,11.7,8.191028,37.5619
6/22/2023 15:00,409,11.7,6.143344,34.62095
6/22/2023 16:00,410,11.69,5.460751,26.98112
6/22/2023 17:00,411,11.69,8.191031,24.96889
6/22/2023 18:00,412,11.69,5.460049,24.58192
6/22/2023 19:00,413,11.68,8.189476,24.43819
6/22/2023 20:00,414,11.68,8.189451,26.06345
6/22/2023 21:00,415,11.68,8.189411,29.93312
6/22/2023 22:00,416,11.67,6.142821,30.29797
6/22/2023 23:00,417,11.67,5.460273,26.12979
6/23/2023 0:00,418,11.66,6.825934,26.88161
6/23/2023 1:00,419,11.65,7.508532,21.89527
6/23/2023 2:00,420,11.64,8.191126,14.96303
6/23/2023 3:00,421,11.64,5.460751,31.51416
6/23/2023 4:00,422,11.63,8.191126,12.77391
6/23/2023 5:00,423,11.63,8.191126,31.80162
6/23/2023 6:00,424,11.63,8.191126,31.63577
6/23/2023 7:00,425,11.62,8.191126,23.59792
6/23/2023 8:00,426,11.62,5.460751,23.49841
6/23/2023 9:00,427,11.62,5.460751,25.77599
6/23/2023 10:00,428,11.62,5.460632,31.66894
6/23/2023 11:00,429,11.63,5.45991,34.81996
6/23/2023 12:00,430,11.64,5.458899,27.45653
6/23/2023 13:00,431,11.63,8.188335,27.01428
6/23/2023 14:00,432,11.63,8.188335,25.45253
6/23/2023 15:00,433,11.62,8.188335,24.3276
6/23/2023 16:00,434,11.62,5.45889,27.47438
6/23/2023 17:00,435,11.61,8.188335,26.45732
6/23/2023 18:00,436,11.6,8.188335,26.73332
6/23/2023 19:00,437,11.6,5.45889,24.53658
