"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733142, SEN S/N: 10733142)","Temp, °F (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Attached (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Detached (LGR S/N: 10733142, SEN S/N: 10733142)","Host Connected (LGR S/N: 10733142, SEN S/N: 10733142)","Stopped (LGR S/N: 10733142, SEN S/N: 10733142)","End Of File (LGR S/N: 10733142, SEN S/N: 10733142)"
231,04/28/24 02:00:00 AM,0.18,68.04,,,,,
232,04/28/24 03:00:00 AM,0.04,67.75,,,,,
233,04/28/24 04:00:00 AM,0.27,67.46,,,,,
234,04/28/24 05:00:00 AM,0.45,67.17,,,,,
235,04/28/24 06:00:00 AM,0.26,66.88,,,,,
236,04/28/24 07:00:00 AM,0.30,66.70,,,,,
237,04/28/24 08:00:00 AM,-0.01,67.10,,,,,
238,04/28/24 09:00:00 AM,0.23,67.57,,,,,
239,04/28/24 10:00:00 AM,0.27,68.11,,,,,
240,04/28/24 11:00:00 AM,1.09,69.91,,,,,
241,04/28/24 12:00:00 PM,0.70,70.27,,,,,
242,04/28/24 01:00:00 PM,0.35,69.98,,,,,
243,04/28/24 02:00:00 PM,0.52,70.30,,,,,
244,04/28/24 03:00:00 PM,0.29,70.41,,,,,
245,04/28/24 04:00:00 PM,0.55,70.45,,,,,
246,04/28/24 05:00:00 PM,0.10,70.16,,,,,
247,04/28/24 06:00:00 PM,-0.03,69.87,,,,,
248,04/28/24 07:00:00 PM,-0.03,69.51,,,,,
249,04/28/24 08:00:00 PM,-0.03,69.12,,,,,
250,04/28/24 09:00:00 PM,-0.03,68.79,,,,,
251,04/28/24 10:00:00 PM,0.18,68.47,,,,,
252,04/28/24 11:00:00 PM,0.14,67.89,,,,,
253,04/29/24 12:00:00 AM,0.50,67.39,,,,,
254,04/29/24 01:00:00 AM,0.77,67.06,,,,,
255,04/29/24 02:00:00 AM,0.81,66.74,,,,,
256,04/29/24 03:00:00 AM,0.81,66.38,,,,,
257,04/29/24 04:00:00 AM,0.89,65.88,,,,,
258,04/29/24 05:00:00 AM,0.85,65.44,,,,,
259,04/29/24 06:00:00 AM,0.89,65.08,,,,,
260,04/29/24 07:00:00 AM,0.89,65.16,,,,,
261,04/29/24 08:00:00 AM,-0.03,65.95,,,,,
262,04/29/24 09:00:00 AM,0.15,67.03,,,,,
263,04/29/24 10:00:00 AM,0.62,68.25,,,,,
264,04/29/24 11:00:00 AM,1.27,71.02,,,,,
265,04/29/24 12:00:00 PM,0.81,71.64,,,,,
266,04/29/24 01:00:00 PM,0.37,71.13,,,,,
267,04/29/24 02:00:00 PM,0.39,71.74,,,,,
268,04/29/24 03:00:00 PM,0.23,71.74,,,,,
269,04/29/24 04:00:00 PM,0.33,72.25,,,,,
270,04/29/24 05:00:00 PM,0.08,71.85,,,,,
271,04/29/24 06:00:00 PM,0.04,71.46,,,,,
272,04/29/24 07:00:00 PM,0.00,70.63,,,,,
273,04/29/24 08:00:00 PM,-0.02,69.91,,,,,
