MiniDOT Logger Concatenated Data File
Sensor:             7450-866812
Concatenation Date: 2024Feb13 09:18:08 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1689159600,           2023-07-12 11:00:00,           2023-07-12 07:00:00,      3.480000,     25.022000,          3.232000,                    39.130172,      0.993000
                1689163200,           2023-07-12 12:00:00,           2023-07-12 08:00:00,      3.480000,     24.964000,          3.213000,                    38.858587,      0.994000
                1689166800,           2023-07-12 13:00:00,           2023-07-12 09:00:00,      3.480000,     24.938000,          3.203000,                    38.719081,      0.993000
                1689170400,           2023-07-12 14:00:00,           2023-07-12 10:00:00,      3.480000,     24.980000,          3.223000,                    38.991026,      0.993000
                1689174000,           2023-07-12 15:00:00,           2023-07-12 11:00:00,      3.480000,     24.997000,          3.232000,                    39.112156,      0.993000
                1689177600,           2023-07-12 16:00:00,           2023-07-12 12:00:00,      3.480000,     25.056000,          3.234000,                    39.178908,      0.994000
                1689181200,           2023-07-12 17:00:00,           2023-07-12 13:00:00,      3.480000,     25.115000,          3.252000,                    39.439768,      0.994000
                1689184800,           2023-07-12 18:00:00,           2023-07-12 14:00:00,      3.480000,     25.233000,          3.283000,                    39.902173,      0.993000
                1689188400,           2023-07-12 19:00:00,           2023-07-12 15:00:00,      3.480000,     25.410000,          3.253000,                    39.666106,      0.994000
                1689192000,           2023-07-12 20:00:00,           2023-07-12 16:00:00,      3.480000,     25.460000,          3.187000,                    38.896918,      0.994000
                1689195600,           2023-07-12 21:00:00,           2023-07-12 17:00:00,      3.490000,     25.519000,          3.061000,                    37.399457,      0.994000
                1689199200,           2023-07-12 22:00:00,           2023-07-12 18:00:00,      3.490000,     25.536000,          2.946000,                    36.005573,      0.993000
